Item_Type,Item_MRP,Outlet_Identifier,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
Fruits and Vegetables,89.8856,OUT010,Tier 3,Grocery Store,175.7712
Frozen Foods,195.7768,OUT049,Tier 1,Supermarket Type1,4138.6128
Fruits and Vegetables,225.1088,OUT013,Tier 3,Supermarket Type1,3579.3408
Health and Hygiene,192.1162,OUT035,Tier 2,Supermarket Type1,3848.324
Meat,98.9042,OUT027,Tier 3,Supermarket Type3,4960.21
Fruits and Vegetables,208.5638,OUT049,Tier 1,Supermarket Type1,5383.6588
Snack Foods,248.9092,OUT046,Tier 1,Supermarket Type1,2241.0828
Snack Foods,113.7544,OUT046,Tier 1,Supermarket Type1,671.1264
Canned,179.6686,OUT019,Tier 1,Grocery Store,177.7686
Snack Foods,242.417,OUT019,Tier 1,Grocery Store,486.034
Fruits and Vegetables,181.195,OUT035,Tier 2,Supermarket Type1,2380.235
Breakfast,99.9358,OUT046,Tier 1,Supermarket Type1,201.0716
Household,59.2562,OUT018,Tier 3,Supermarket Type2,651.8182
Baking Goods,199.8084,OUT017,Tier 2,Supermarket Type1,3968.168
Canned,221.5798,OUT035,Tier 2,Supermarket Type1,4187.2162
Health and Hygiene,84.4224,OUT010,Tier 3,Grocery Store,170.4448
Frozen Foods,181.3976,OUT017,Tier 2,Supermarket Type1,3078.6592
Baking Goods,182.995,OUT018,Tier 3,Supermarket Type2,4394.28
Frozen Foods,162.1236,OUT049,Tier 1,Supermarket Type1,2577.9776
Dairy,126.7704,OUT013,Tier 3,Supermarket Type1,2628.5784
Fruits and Vegetables,112.7886,OUT019,Tier 1,Grocery Store,222.3772
Fruits and Vegetables,62.751,OUT018,Tier 3,Supermarket Type2,1707.777
Canned,86.0224,OUT017,Tier 2,Supermarket Type1,1278.336
Household,262.891,OUT027,Tier 3,Supermarket Type3,5522.811
Frozen Foods,182.9292,OUT017,Tier 2,Supermarket Type1,4013.4424
Dairy,263.7568,OUT049,Tier 1,Supermarket Type1,7646.0472
Baking Goods,220.9456,OUT018,Tier 3,Supermarket Type2,1768.3648
Health and Hygiene,224.4404,OUT018,Tier 3,Supermarket Type2,5626.01
Fruits and Vegetables,180.3976,OUT013,Tier 3,Supermarket Type1,3078.6592
Snack Foods,257.3304,OUT018,Tier 3,Supermarket Type2,3874.956
Household,157.7972,OUT013,Tier 3,Supermarket Type1,1713.7692
Fruits and Vegetables,78.2644,OUT049,Tier 1,Supermarket Type1,1492.7236
Frozen Foods,119.7466,OUT017,Tier 2,Supermarket Type1,4006.7844
Snack Foods,147.476,OUT027,Tier 3,Supermarket Type3,3368.948
Soft Drinks,114.586,OUT046,Tier 1,Supermarket Type1,1245.046
Fruits and Vegetables,95.5094,OUT010,Tier 3,Grocery Store,95.2094
Health and Hygiene,185.1608,OUT049,Tier 1,Supermarket Type1,2388.8904
Health and Hygiene,34.0532,OUT017,Tier 2,Supermarket Type1,575.2512
Snack Foods,154.463,OUT017,Tier 2,Supermarket Type1,3755.112
Baking Goods,149.1076,OUT045,Tier 2,Supermarket Type1,1182.4608
Breakfast,131.3626,OUT013,Tier 3,Supermarket Type1,262.3252
Fruits and Vegetables,83.4908,OUT046,Tier 1,Supermarket Type1,1342.2528
Fruits and Vegetables,247.0092,OUT027,Tier 3,Supermarket Type3,5478.2024
Health and Hygiene,123.0414,OUT027,Tier 3,Supermarket Type3,4629.9732
Household,163.0526,OUT017,Tier 2,Supermarket Type1,1644.526
Baking Goods,89.383,OUT017,Tier 2,Supermarket Type1,1258.362
Household,90.5146,OUT017,Tier 2,Supermarket Type1,729.7168
Frozen Foods,96.541,OUT018,Tier 3,Supermarket Type2,2220.443
Starchy Foods,171.9448,OUT046,Tier 1,Supermarket Type1,3749.7856
Dairy,48.7718,OUT046,Tier 1,Supermarket Type1,236.359
Household,61.3194,OUT027,Tier 3,Supermarket Type3,2043.3402
Frozen Foods,184.2292,OUT045,Tier 2,Supermarket Type1,1641.8628
Household,91.4462,OUT045,Tier 2,Supermarket Type1,1943.4702
Fruits and Vegetables,171.179,OUT046,Tier 1,Supermarket Type1,4923.591
Snack Foods,90.3146,OUT017,Tier 2,Supermarket Type1,2554.0088
Household,165.0842,OUT013,Tier 3,Supermarket Type1,2320.9788
Baking Goods,53.1298,OUT035,Tier 2,Supermarket Type1,808.947
Snack Foods,148.7076,OUT017,Tier 2,Supermarket Type1,1330.2684
Meat,223.2404,OUT018,Tier 3,Supermarket Type2,2475.4444
Fruits and Vegetables,180.4002,OUT019,Tier 1,Grocery Store,716.4008
Fruits and Vegetables,258.5646,OUT018,Tier 3,Supermarket Type2,3091.9752
Snack Foods,178.0344,OUT018,Tier 3,Supermarket Type2,1605.9096
Meat,39.9822,OUT018,Tier 3,Supermarket Type2,78.5644
Baking Goods,131.2626,OUT013,Tier 3,Supermarket Type1,3410.2276
Frozen Foods,226.2062,OUT010,Tier 3,Grocery Store,677.1186
Baking Goods,102.0332,OUT049,Tier 1,Supermarket Type1,2050.664
Household,57.5562,OUT018,Tier 3,Supermarket Type2,829.5868
Household,166.9184,OUT010,Tier 3,Grocery Store,660.4736
Dairy,94.9436,OUT049,Tier 1,Supermarket Type1,1229.0668
Fruits and Vegetables,159.9578,OUT046,Tier 1,Supermarket Type1,2727.7826
Fruits and Vegetables,165.05,OUT046,Tier 1,Supermarket Type1,2330.3
Fruits and Vegetables,186.424,OUT018,Tier 3,Supermarket Type2,1304.968
Dairy,241.3854,OUT019,Tier 1,Grocery Store,483.3708
Frozen Foods,244.4486,OUT017,Tier 2,Supermarket Type1,4153.9262
Snack Foods,188.4898,OUT010,Tier 3,Grocery Store,187.0898
Baking Goods,120.9756,OUT027,Tier 3,Supermarket Type3,3877.6192
Health and Hygiene,121.9414,OUT045,Tier 2,Supermarket Type1,1462.0968
Fruits and Vegetables,160.3578,OUT018,Tier 3,Supermarket Type2,1765.0358
Household,188.3898,OUT045,Tier 2,Supermarket Type1,3554.7062
Snack Foods,168.8816,OUT019,Tier 1,Grocery Store,167.7816
Soft Drinks,40.5138,OUT046,Tier 1,Supermarket Type1,446.7518
Breakfast,184.4292,OUT013,Tier 3,Supermarket Type1,3101.2964
Fruits and Vegetables,61.0536,OUT035,Tier 2,Supermarket Type1,1898.8616
Snack Foods,181.7634,OUT049,Tier 1,Supermarket Type1,6179.9556
Frozen Foods,207.5954,OUT027,Tier 3,Supermarket Type3,6668.6528
Snack Foods,168.6816,OUT035,Tier 2,Supermarket Type1,1342.2528
Meat,207.898,OUT035,Tier 2,Supermarket Type1,3095.97
Household,128.7336,OUT049,Tier 1,Supermarket Type1,2173.1712
Snack Foods,59.822,OUT027,Tier 3,Supermarket Type3,1677.816
Snack Foods,253.1724,OUT049,Tier 1,Supermarket Type1,5285.1204
Meat,107.1596,OUT013,Tier 3,Supermarket Type1,2804.3496
Frozen Foods,146.6076,OUT027,Tier 3,Supermarket Type3,1773.6912
Breakfast,234.93,OUT045,Tier 2,Supermarket Type1,4660.6
Household,61.451,OUT018,Tier 3,Supermarket Type2,126.502
Seafood,172.2764,OUT019,Tier 1,Grocery Store,171.7764
Snack Foods,55.5588,OUT046,Tier 1,Supermarket Type1,1603.2464
Meat,238.7248,OUT013,Tier 3,Supermarket Type1,2133.2232
Household,36.0848,OUT018,Tier 3,Supermarket Type2,372.848
Dairy,109.157,OUT027,Tier 3,Supermarket Type3,1867.569
Frozen Foods,54.864,OUT018,Tier 3,Supermarket Type2,319.584
Fruits and Vegetables,210.0586,OUT046,Tier 1,Supermarket Type1,4221.172
Canned,101.199,OUT046,Tier 1,Supermarket Type1,1031.99
Snack Foods,257.8304,OUT046,Tier 1,Supermarket Type1,1808.3128
Breads,155.8288,OUT049,Tier 1,Supermarket Type1,1099.9016
Canned,89.8804,OUT017,Tier 2,Supermarket Type1,1102.5648
Snack Foods,179.866,OUT013,Tier 3,Supermarket Type1,2696.49
Canned,174.537,OUT035,Tier 2,Supermarket Type1,1235.059
Frozen Foods,74.7696,OUT019,Tier 1,Grocery Store,74.5696
Dairy,225.0404,OUT046,Tier 1,Supermarket Type1,4950.8888
Breads,218.3166,OUT010,Tier 3,Grocery Store,435.4332
Fruits and Vegetables,98.241,OUT027,Tier 3,Supermarket Type3,2220.443
Household,193.9136,OUT049,Tier 1,Supermarket Type1,3110.6176
Baking Goods,224.5062,OUT045,Tier 2,Supermarket Type1,4514.124
Canned,167.7132,OUT027,Tier 3,Supermarket Type3,3889.6036
Health and Hygiene,80.8618,OUT049,Tier 1,Supermarket Type1,1288.9888
Fruits and Vegetables,90.3146,OUT018,Tier 3,Supermarket Type2,1733.0774
Hard Drinks,159.2946,OUT049,Tier 1,Supermarket Type1,1893.5352
Fruits and Vegetables,61.9536,OUT045,Tier 2,Supermarket Type1,1225.072
Fruits and Vegetables,124.973,OUT027,Tier 3,Supermarket Type3,2463.46
Snack Foods,63.4484,OUT045,Tier 2,Supermarket Type1,1043.9744
Snack Foods,264.491,OUT049,Tier 1,Supermarket Type1,6574.775
Soft Drinks,128.9652,OUT018,Tier 3,Supermarket Type2,1679.1476
Dairy,103.0306,OUT013,Tier 3,Supermarket Type1,2404.2038
Fruits and Vegetables,46.9034,OUT035,Tier 2,Supermarket Type1,972.068
Household,93.6462,OUT010,Tier 3,Grocery Store,277.6386
Canned,189.5188,OUT046,Tier 1,Supermarket Type1,1904.188
Fruits and Vegetables,45.906,OUT035,Tier 2,Supermarket Type1,419.454
Snack Foods,229.4352,OUT046,Tier 1,Supermarket Type1,4809.7392
Breads,163.5552,OUT046,Tier 1,Supermarket Type1,1787.0072
Fruits and Vegetables,187.953,OUT045,Tier 2,Supermarket Type1,2656.542
Fruits and Vegetables,158.1946,OUT027,Tier 3,Supermarket Type3,6942.9624
Fruits and Vegetables,147.3734,OUT018,Tier 3,Supermarket Type2,2375.5744
Frozen Foods,223.8062,OUT013,Tier 3,Supermarket Type1,4288.4178
Breads,60.4194,OUT013,Tier 3,Supermarket Type1,990.7104
Dairy,195.3794,OUT049,Tier 1,Supermarket Type1,3511.4292
Fruits and Vegetables,37.719,OUT018,Tier 3,Supermarket Type2,549.285
Canned,155.2972,OUT010,Tier 3,Grocery Store,311.5944
Meat,52.4324,OUT045,Tier 2,Supermarket Type1,571.2564
Frozen Foods,40.0454,OUT027,Tier 3,Supermarket Type3,419.454
Dairy,41.9428,OUT046,Tier 1,Supermarket Type1,1537.998
Breads,187.7556,OUT035,Tier 2,Supermarket Type1,3755.112
Baking Goods,131.5284,OUT035,Tier 2,Supermarket Type1,1581.9408
Baking Goods,49.2008,OUT013,Tier 3,Supermarket Type1,657.8104
Fruits and Vegetables,238.3538,OUT017,Tier 2,Supermarket Type1,5528.1374
Household,149.8366,OUT018,Tier 3,Supermarket Type2,2267.049
Hard Drinks,55.2614,OUT013,Tier 3,Supermarket Type1,718.3982
Frozen Foods,222.8456,OUT027,Tier 3,Supermarket Type3,7073.4592
Snack Foods,55.8956,OUT018,Tier 3,Supermarket Type2,491.3604
Fruits and Vegetables,61.5194,OUT017,Tier 2,Supermarket Type1,1052.6298
Frozen Foods,87.4856,OUT017,Tier 2,Supermarket Type1,263.6568
Meat,40.2822,OUT046,Tier 1,Supermarket Type1,628.5152
Household,86.7882,OUT035,Tier 2,Supermarket Type1,1975.4286
Starchy Foods,191.882,OUT013,Tier 3,Supermarket Type1,3861.64
Snack Foods,157.963,OUT045,Tier 2,Supermarket Type1,2816.334
Frozen Foods,150.7392,OUT049,Tier 1,Supermarket Type1,3131.9232
Fruits and Vegetables,115.0176,OUT013,Tier 3,Supermarket Type1,4122.6336
Baking Goods,179.166,OUT013,Tier 3,Supermarket Type1,3056.022
Snack Foods,73.5038,OUT049,Tier 1,Supermarket Type1,1478.076
Household,177.1054,OUT045,Tier 2,Supermarket Type1,2626.581
Household,127.3678,OUT018,Tier 3,Supermarket Type2,3306.3628
Snack Foods,198.0084,OUT049,Tier 1,Supermarket Type1,793.6336
Snack Foods,106.7622,OUT010,Tier 3,Grocery Store,211.7244
Baking Goods,148.705,OUT049,Tier 1,Supermarket Type1,1198.44
Snack Foods,155.5998,OUT010,Tier 3,Grocery Store,153.7998
Meat,191.4846,OUT018,Tier 3,Supermarket Type2,3057.3536
Dairy,111.657,OUT046,Tier 1,Supermarket Type1,1537.998
Dairy,179.4318,OUT018,Tier 3,Supermarket Type2,360.8636
Dairy,170.4106,OUT018,Tier 3,Supermarket Type2,513.3318
Starchy Foods,184.3924,OUT046,Tier 1,Supermarket Type1,4257.1252
Household,208.927,OUT049,Tier 1,Supermarket Type1,7130.718
Fruits and Vegetables,38.319,OUT010,Tier 3,Grocery Store,109.857
Dairy,44.9744,OUT013,Tier 3,Supermarket Type1,498.0184
Baking Goods,45.3086,OUT017,Tier 2,Supermarket Type1,490.6946
Household,263.091,OUT013,Tier 3,Supermarket Type1,5522.811
Dairy,110.7228,OUT045,Tier 2,Supermarket Type1,1657.842
Fruits and Vegetables,114.7834,OUT035,Tier 2,Supermarket Type1,3455.502
Frozen Foods,36.7506,OUT018,Tier 3,Supermarket Type2,75.9012
Frozen Foods,226.1062,OUT045,Tier 2,Supermarket Type1,6771.186
Others,66.0142,OUT017,Tier 2,Supermarket Type1,988.713
Household,185.6608,OUT035,Tier 2,Supermarket Type1,918.804
Snack Foods,148.2076,OUT049,Tier 1,Supermarket Type1,3399.5748
Baking Goods,102.7648,OUT013,Tier 3,Supermarket Type1,1142.5128
Frozen Foods,125.8678,OUT013,Tier 3,Supermarket Type1,3560.6984
Health and Hygiene,99.3384,OUT017,Tier 2,Supermarket Type1,2759.0752
Fruits and Vegetables,227.5694,OUT049,Tier 1,Supermarket Type1,3653.9104
Frozen Foods,50.7666,OUT018,Tier 3,Supermarket Type2,512.666
Soft Drinks,232.8958,OUT013,Tier 3,Supermarket Type1,5608.6992
Fruits and Vegetables,83.9908,OUT018,Tier 3,Supermarket Type2,1426.1436
Fruits and Vegetables,229.601,OUT046,Tier 1,Supermarket Type1,6201.927
Household,254.1014,OUT019,Tier 1,Grocery Store,255.0014
Frozen Foods,215.0192,OUT019,Tier 1,Grocery Store,1078.596
Frozen Foods,55.7298,OUT027,Tier 3,Supermarket Type3,1024.6662
Meat,220.0798,OUT035,Tier 2,Supermarket Type1,1322.2788
Health and Hygiene,123.773,OUT018,Tier 3,Supermarket Type2,1231.73
Health and Hygiene,46.4086,OUT027,Tier 3,Supermarket Type3,2007.387
Meat,53.5324,OUT017,Tier 2,Supermarket Type1,830.9184
Fruits and Vegetables,82.7592,OUT035,Tier 2,Supermarket Type1,577.9144
Meat,184.2292,OUT018,Tier 3,Supermarket Type2,1277.0044
Canned,218.4798,OUT046,Tier 1,Supermarket Type1,2203.798
Household,248.6776,OUT019,Tier 1,Grocery Store,495.3552
Fruits and Vegetables,40.5454,OUT045,Tier 2,Supermarket Type1,545.2902
Dairy,264.5568,OUT013,Tier 3,Supermarket Type1,5536.7928
Canned,165.3184,OUT013,Tier 3,Supermarket Type1,990.7104
Baking Goods,83.7934,OUT017,Tier 2,Supermarket Type1,1474.0812
Hard Drinks,229.4694,OUT045,Tier 2,Supermarket Type1,2055.3246
Soft Drinks,45.006,OUT017,Tier 2,Supermarket Type1,792.302
Frozen Foods,79.2276,OUT018,Tier 3,Supermarket Type2,649.8208
Baking Goods,59.422,OUT027,Tier 3,Supermarket Type3,1078.596
Breads,60.1194,OUT027,Tier 3,Supermarket Type3,1114.5492
Household,159.7894,OUT035,Tier 2,Supermarket Type1,1294.3152
Fruits and Vegetables,196.3426,OUT018,Tier 3,Supermarket Type2,1384.1982
Hard Drinks,141.8128,OUT035,Tier 2,Supermarket Type1,1869.5664
Soft Drinks,141.9154,OUT035,Tier 2,Supermarket Type1,992.7078
Snack Foods,155.163,OUT013,Tier 3,Supermarket Type1,2972.797
Breads,197.2742,OUT013,Tier 3,Supermarket Type1,2587.9646
Dairy,253.0356,OUT010,Tier 3,Grocery Store,254.3356
Household,117.6124,OUT013,Tier 3,Supermarket Type1,3910.9092
Baking Goods,93.0804,OUT045,Tier 2,Supermarket Type1,2113.2492
Baking Goods,165.65,OUT019,Tier 1,Grocery Store,665.8
Fruits and Vegetables,223.4772,OUT027,Tier 3,Supermarket Type3,7116.0704
Hard Drinks,129.3336,OUT019,Tier 1,Grocery Store,127.8336
Baking Goods,166.85,OUT013,Tier 3,Supermarket Type1,5326.4
Snack Foods,188.4898,OUT018,Tier 3,Supermarket Type2,4677.245
Snack Foods,166.8816,OUT035,Tier 2,Supermarket Type1,1845.5976
Dairy,234.53,OUT017,Tier 2,Supermarket Type1,6524.84
Snack Foods,252.5724,OUT027,Tier 3,Supermarket Type3,3271.7412
Meat,197.511,OUT017,Tier 2,Supermarket Type1,982.055
Soft Drinks,86.7882,OUT019,Tier 1,Grocery Store,85.8882
Baking Goods,168.7132,OUT045,Tier 2,Supermarket Type1,6426.3016
Canned,217.0824,OUT027,Tier 3,Supermarket Type3,6769.8544
Snack Foods,161.0578,OUT010,Tier 3,Grocery Store,481.3734
Snack Foods,114.8834,OUT049,Tier 1,Supermarket Type1,3340.3186
Health and Hygiene,36.6874,OUT027,Tier 3,Supermarket Type3,1058.622
Fruits and Vegetables,187.724,OUT049,Tier 1,Supermarket Type1,1491.392
Frozen Foods,146.3076,OUT010,Tier 3,Grocery Store,886.8456
Household,188.753,OUT013,Tier 3,Supermarket Type1,3795.06
Snack Foods,145.276,OUT018,Tier 3,Supermarket Type2,2490.092
Snack Foods,49.8666,OUT049,Tier 1,Supermarket Type1,563.9326
Snack Foods,123.7704,OUT035,Tier 2,Supermarket Type1,3129.26
Household,176.2712,OUT018,Tier 3,Supermarket Type2,1230.3984
Dairy,141.3154,OUT049,Tier 1,Supermarket Type1,3261.7542
Fruits and Vegetables,170.9106,OUT018,Tier 3,Supermarket Type2,1197.7742
Frozen Foods,100.5358,OUT045,Tier 2,Supermarket Type1,2111.2518
Breads,256.5988,OUT046,Tier 1,Supermarket Type1,2055.9904
Soft Drinks,36.0848,OUT046,Tier 1,Supermarket Type1,1193.1136
Baking Goods,126.5362,OUT013,Tier 3,Supermarket Type1,1761.7068
Snack Foods,146.076,OUT017,Tier 2,Supermarket Type1,2636.568
Others,65.9142,OUT045,Tier 2,Supermarket Type1,790.9704
Frozen Foods,247.4434,OUT013,Tier 3,Supermarket Type1,2980.1208
Frozen Foods,215.2218,OUT017,Tier 2,Supermarket Type1,3419.5488
Fruits and Vegetables,37.3506,OUT046,Tier 1,Supermarket Type1,834.9132
Snack Foods,173.2764,OUT035,Tier 2,Supermarket Type1,3779.0808
Meat,100.7674,OUT045,Tier 2,Supermarket Type1,814.9392
Household,60.0194,OUT049,Tier 1,Supermarket Type1,1114.5492
Dairy,146.3786,OUT045,Tier 2,Supermarket Type1,866.8716
Dairy,119.044,OUT046,Tier 1,Supermarket Type1,2396.88
Soft Drinks,182.4634,OUT035,Tier 2,Supermarket Type1,1999.3974
Household,44.0112,OUT046,Tier 1,Supermarket Type1,468.7232
Meat,94.3752,OUT046,Tier 1,Supermarket Type1,1342.2528
Canned,216.4824,OUT019,Tier 1,Grocery Store,218.3824
Meat,48.3718,OUT035,Tier 2,Supermarket Type1,614.5334
Household,158.1604,OUT017,Tier 2,Supermarket Type1,1426.1436
Fruits and Vegetables,102.7332,OUT045,Tier 2,Supermarket Type1,1537.998
Others,57.0614,OUT017,Tier 2,Supermarket Type1,939.4438
Snack Foods,261.491,OUT013,Tier 3,Supermarket Type1,3418.883
Canned,50.6008,OUT049,Tier 1,Supermarket Type1,404.8064
Baking Goods,51.4666,OUT017,Tier 2,Supermarket Type1,974.0654
Snack Foods,161.0578,OUT045,Tier 2,Supermarket Type1,2406.867
Meat,223.5404,OUT035,Tier 2,Supermarket Type1,5626.01
Household,260.8962,OUT049,Tier 1,Supermarket Type1,5956.9126
Frozen Foods,246.846,OUT045,Tier 2,Supermarket Type1,6404.996
Health and Hygiene,44.077,OUT019,Tier 1,Grocery Store,216.385
Baking Goods,78.2328,OUT049,Tier 1,Supermarket Type1,1158.492
Fruits and Vegetables,101.0016,OUT010,Tier 3,Grocery Store,202.4032
Fruits and Vegetables,260.3278,OUT018,Tier 3,Supermarket Type2,2342.9502
Household,174.6054,OUT017,Tier 2,Supermarket Type1,2976.7918
Breads,224.7088,OUT046,Tier 1,Supermarket Type1,3131.9232
Frozen Foods,109.9254,OUT019,Tier 1,Grocery Store,108.5254
Breads,262.3594,OUT046,Tier 1,Supermarket Type1,4448.2098
Dairy,75.7012,OUT017,Tier 2,Supermarket Type1,1442.1228
Fruits and Vegetables,128.4652,OUT049,Tier 1,Supermarket Type1,2841.6344
Hard Drinks,180.666,OUT049,Tier 1,Supermarket Type1,2876.256
Snack Foods,124.5704,OUT018,Tier 3,Supermarket Type2,1001.3632
Snack Foods,107.4912,OUT018,Tier 3,Supermarket Type2,982.7208
Seafood,195.7768,OUT027,Tier 3,Supermarket Type3,3547.3824
Household,207.0954,OUT046,Tier 1,Supermarket Type1,3125.931
Meat,196.311,OUT045,Tier 2,Supermarket Type1,3142.576
Canned,100.57,OUT013,Tier 3,Supermarket Type1,1398.18
Snack Foods,176.0028,OUT018,Tier 3,Supermarket Type2,4427.57
Dairy,73.8354,OUT017,Tier 2,Supermarket Type1,1956.1204
Fruits and Vegetables,180.5976,OUT046,Tier 1,Supermarket Type1,3078.6592
Snack Foods,169.679,OUT046,Tier 1,Supermarket Type1,1018.674
Household,56.2588,OUT018,Tier 3,Supermarket Type2,687.1056
Hard Drinks,156.5946,OUT027,Tier 3,Supermarket Type3,3787.0704
Snack Foods,169.9764,OUT018,Tier 3,Supermarket Type2,2748.4224
Snack Foods,111.1912,OUT019,Tier 1,Grocery Store,109.1912
Fruits and Vegetables,186.524,OUT017,Tier 2,Supermarket Type1,2609.936
Snack Foods,141.1496,OUT035,Tier 2,Supermarket Type1,4516.7872
Canned,89.1172,OUT027,Tier 3,Supermarket Type3,2319.6472
Hard Drinks,159.6946,OUT018,Tier 3,Supermarket Type2,3629.2758
Frozen Foods,148.8392,OUT018,Tier 3,Supermarket Type2,2087.9488
Soft Drinks,121.644,OUT045,Tier 2,Supermarket Type1,1557.972
Frozen Foods,146.6076,OUT035,Tier 2,Supermarket Type1,2364.9216
Frozen Foods,149.0076,OUT017,Tier 2,Supermarket Type1,4138.6128
Canned,264.7226,OUT018,Tier 3,Supermarket Type2,3171.8712
Starchy Foods,224.0746,OUT017,Tier 2,Supermarket Type1,2243.746
Fruits and Vegetables,182.1976,OUT035,Tier 2,Supermarket Type1,724.3904
Baking Goods,143.6444,OUT010,Tier 3,Grocery Store,145.1444
Snack Foods,173.8054,OUT019,Tier 1,Grocery Store,175.1054
Fruits and Vegetables,258.4988,OUT035,Tier 2,Supermarket Type1,4111.9808
Baking Goods,98.8384,OUT019,Tier 1,Grocery Store,492.692
Household,42.9112,OUT049,Tier 1,Supermarket Type1,1022.6688
Baking Goods,49.9034,OUT046,Tier 1,Supermarket Type1,194.4136
Frozen Foods,149.8076,OUT013,Tier 3,Supermarket Type1,2808.3444
Household,42.5112,OUT049,Tier 1,Supermarket Type1,852.224
Soft Drinks,56.5614,OUT035,Tier 2,Supermarket Type1,828.921
Meat,107.6596,OUT045,Tier 2,Supermarket Type1,323.5788
Fruits and Vegetables,174.708,OUT013,Tier 3,Supermarket Type1,2942.836
Starchy Foods,34.5532,OUT013,Tier 3,Supermarket Type1,359.532
Frozen Foods,179.766,OUT010,Tier 3,Grocery Store,719.064
Health and Hygiene,130.2626,OUT035,Tier 2,Supermarket Type1,2360.9268
Frozen Foods,211.2928,OUT013,Tier 3,Supermarket Type1,2735.1064
Fruits and Vegetables,174.2054,OUT035,Tier 2,Supermarket Type1,3677.2134
Snack Foods,146.7076,OUT027,Tier 3,Supermarket Type3,3842.9976
Fruits and Vegetables,100.77,OUT019,Tier 1,Grocery Store,199.74
Breakfast,58.5588,OUT013,Tier 3,Supermarket Type1,171.7764
Snack Foods,118.9098,OUT019,Tier 1,Grocery Store,120.5098
Snack Foods,38.9822,OUT049,Tier 1,Supermarket Type1,628.5152
Household,198.211,OUT035,Tier 2,Supermarket Type1,2946.165
Hard Drinks,149.5392,OUT035,Tier 2,Supermarket Type1,1789.6704
Soft Drinks,58.3904,OUT017,Tier 2,Supermarket Type1,468.7232
Canned,100.47,OUT049,Tier 1,Supermarket Type1,1597.92
Frozen Foods,264.491,OUT046,Tier 1,Supermarket Type1,3681.874
Baking Goods,107.4622,OUT019,Tier 1,Grocery Store,317.5866
Frozen Foods,198.1426,OUT035,Tier 2,Supermarket Type1,1977.426
Dairy,88.9856,OUT045,Tier 2,Supermarket Type1,1230.3984
Dairy,191.1504,OUT035,Tier 2,Supermarket Type1,4410.2592
Frozen Foods,211.8218,OUT013,Tier 3,Supermarket Type1,1496.0526
Fruits and Vegetables,126.402,OUT046,Tier 1,Supermarket Type1,1012.016
Frozen Foods,113.6176,OUT017,Tier 2,Supermarket Type1,2862.94
Snack Foods,239.2222,OUT049,Tier 1,Supermarket Type1,6692.6216
Health and Hygiene,140.2838,OUT046,Tier 1,Supermarket Type1,1404.838
Household,176.7712,OUT017,Tier 2,Supermarket Type1,2812.3392
Snack Foods,198.8084,OUT010,Tier 3,Grocery Store,992.042
Starchy Foods,226.6062,OUT017,Tier 2,Supermarket Type1,5191.2426
Frozen Foods,78.067,OUT049,Tier 1,Supermarket Type1,1148.505
Snack Foods,124.1072,OUT019,Tier 1,Grocery Store,245.0144
Others,154.134,OUT017,Tier 2,Supermarket Type1,2909.546
Snack Foods,122.3072,OUT019,Tier 1,Grocery Store,122.5072
Breads,41.4454,OUT035,Tier 2,Supermarket Type1,1468.089
Fruits and Vegetables,143.3786,OUT035,Tier 2,Supermarket Type1,1733.7432
Frozen Foods,264.691,OUT018,Tier 3,Supermarket Type2,5785.802
Dairy,142.4154,OUT017,Tier 2,Supermarket Type1,1985.4156
Frozen Foods,262.6936,OUT046,Tier 1,Supermarket Type1,4175.8976
Household,246.7144,OUT013,Tier 3,Supermarket Type1,6615.3888
Soft Drinks,190.353,OUT035,Tier 2,Supermarket Type1,569.259
Fruits and Vegetables,196.5768,OUT018,Tier 3,Supermarket Type2,2759.0752
Snack Foods,165.9526,OUT035,Tier 2,Supermarket Type1,2631.2416
Snack Foods,182.2634,OUT010,Tier 3,Grocery Store,363.5268
Household,52.7956,OUT046,Tier 1,Supermarket Type1,1037.3164
Household,117.1124,OUT010,Tier 3,Grocery Store,355.5372
Frozen Foods,183.9292,OUT049,Tier 1,Supermarket Type1,3283.7256
Frozen Foods,162.421,OUT035,Tier 2,Supermarket Type1,1468.089
Soft Drinks,111.9518,OUT049,Tier 1,Supermarket Type1,1138.518
Dairy,92.8436,OUT010,Tier 3,Grocery Store,189.0872
Frozen Foods,32.8558,OUT013,Tier 3,Supermarket Type1,339.558
Fruits and Vegetables,78.8644,OUT019,Tier 1,Grocery Store,314.2576
Breakfast,193.3478,OUT013,Tier 3,Supermarket Type1,6006.1818
Household,123.6046,OUT046,Tier 1,Supermarket Type1,2988.1104
Health and Hygiene,98.5726,OUT017,Tier 2,Supermarket Type1,1761.7068
Fruits and Vegetables,129.0678,OUT017,Tier 2,Supermarket Type1,3560.6984
Fruits and Vegetables,48.5034,OUT018,Tier 3,Supermarket Type2,874.8612
Baking Goods,168.5132,OUT035,Tier 2,Supermarket Type1,2874.9244
Household,112.986,OUT010,Tier 3,Grocery Store,113.186
Health and Hygiene,132.6626,OUT010,Tier 3,Grocery Store,262.3252
Baking Goods,104.4648,OUT018,Tier 3,Supermarket Type2,2181.1608
Frozen Foods,43.3454,OUT049,Tier 1,Supermarket Type1,503.3448
Fruits and Vegetables,76.0328,OUT049,Tier 1,Supermarket Type1,1853.5872
